Year,Weight,Math,Programming,Lab Work,Serge,Andreea,Day,Manijeh,John,PCB,Embedded,Microcontroller,Adv. Embedded,Product Development I,Mechatronics & Robotic Systems,Digital Systems Design using HDL,Microcontroller Applications,Network Systems Design
3,70,4,4,3,10,-1,7,7,6,0,0,0,0,1,1,1,1,0
3,85,4,5,5,10,-1,8,9,8,0,0,0,0,1,1,1,1,0
2,70,1,1,3,2,9,1,-1,10,1,1,1,-1,0,0,0,0,0
3,85,3,4,4,10,-1,3,7,10,0,0,0,0,1,1,-1,-1,0
2,73,4,4,5,10,10,10,-1,10,0,1,1,1,0,0,0,0,0
2,57,3,4,4,8,10,1,-1,8,0,1,1,1,0,0,0,0,0
2,60.1,4,3,5,7,9,3,-1,9,1,1,1,1,0,0,0,0,0
2,68,1,1,1,3,10,1,-1,8,-1,-1,-1,-1,0,0,0,0,0
2,60,3,2,4,3,8,1,-1,8,0,0,0,0,0,0,0,0,0
3,75,5,3,4,7,-1,5,7,10,0,0,0,0,1,1,1,1,1
3,66.23,5,3,5,4,-1,4,5,10,0,0,0,0,1,0,-1,0,1
3,63.5,3,2,4,6,-1,1,7,10,0,0,0,0,1,0,-1,0,-1
2,65,5,4,4,7,8,7,-1,10,1,1,1,1,0,0,0,0,0
2,67,4,1,3,7,10,5,-1,1,0,1,-1,-1,0,0,0,0,0
2,55,4,3,3,8,10,6,-1,8,0,1,0,0,0,0,0,0,0
2,42,3,2,2,5,8,6,-1,9,1,1,-1,-1,0,0,0,0,0
3,120,4,5,5,9,-1,8,8,10,0,0,0,0,1,1,1,1,1
